Razão Social,Nome Fantasia,CNPJ,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cluster
PROSPERUS,K RIO SUL,,"Rua Lauro Muller, 116 - 3ºpiso Loja C-34 Botafogo Rj Cep 22290-160",,,,RIO DE JANEIRO,RJ,Cluster B
PROSPERUS,K SHP VITORIA,,AV AMERICO BUAIZ 200 LOJA: S103 ENSEADA DO SUA ; MUNICIPIO DE VITORIA,,,,VITÓRIA,ES,Cluster C
RASTRECALL,KIOSK CARIOCA SHOPPING,,"RUA GEREMARIO DANTAS, 404 - RIO DE JANEIRO / RJ - QUIOSQ: Q11 PISO L1",,,,RIO DE JANEIRO,RJ,Cluster C
MASTERCELL,LAGES GARDEN SHOPPING,,ROD BR 282 KM 216 S/N LOJA 24 E 25 LAGES GUARDEN SHOPPING,,,,LAGES,SC,Cluster C
M.M.S. DO BRASIL,LITORAL PLAZA,,"AV AYRTON SENNA DA SILVA, 1511 LOJA 62",,,,PRAIA GRANDE,SP,Cluster C
ATACADÃO DOS ELETRODOMÉSTICOS DO NORDESTE,MACEIO SHOPPING,,"AV COMENDADOR GUSTAVO PAIVA, 2990, LOJA 296, BAIRO MANGABEIRAS - MACEIO/ALAGOAS (57032-901)",,,,MACEIÓ,AL,Cluster C
RASTRECALL,MADUREIRA SHOPPING,,"ESTRADA DO PORTELA, 222 QUIOSQUE L1 Q06E - CEP. 21351-051 - MADUREIRA - RJ",,,,RIO DE JANEIRO,RJ,Cluster C
NAGEM,MANAIRA SHOPPING,,"AV GOVERNADOR FLAVIO RIBEIRO COUTINHO, 220 - LOJA T0401 PISO TERREO - CEP: 58310-000 - LOTEAMENTO PARQUE VERDE - CABEDELO (PB)",,,,JOÃO PESSOA,PB,Cluster B
INFO STORE COMPUTADORES DA AMAZÔNIA,MANAURA,,AV MARIO YPIRANGA 1300 LOJA 67/68 1º PISO MANAUARA SHOP - CEP: 69057-002 ADRIANOPOLIS - MANAUS (AM),,,,MANAUS,AM,Cluster A
ATACADÃO DOS ELETRODOMÉSTICOS DO NORDESTE,MANGABEIRA SHOPPING,,"AV HILTON SOUTOMAIOR,3901 LOJA P1083/1109 TERREO",,,,JOÃO PESSOA,PB,Cluster C
ALLIED,MARÍLIA SHOPPING,,"RUA DOS TUCUNARÉS, 500, QUIOSQUE Q-13, JARDIM MARIA MARTHA, CEP 17507-280, MARÍLIA, SP",,,,MARILIA,SP,Cluster C
JUFAP,MARINGÁ PARK SHOPPING,,"AV. SÃO PAULO, 1099 – QUIOSQUE Q130 – 1º PISO",,,,MARINGÁ,PR,Cluster C
M.M.S. DO BRASIL,MAUA SHOPPING,,"AV GOVERNADOR MARIO COVAS JUNIOR (VL F N MORELLI), Nº1 LOJA: 25/27;",,,,MAUA,SP,Cluster C
ALLIED,MAXI SHOPPING JUNDIAI,,"AVENIDA ANTONIO FREDERICO OZANAM, 6000- VILA RIO BRANCO JUNDIAI SP CEP 13215-900",,,,JUNDIAÍ,SP,Cluster C
NAGEM,MIDWAY MALL,,"AV BERNARDO VIEIRA, 3775 - LOJA 372 E 372A PISO L3 SHOPPING MIDWAY MALL - CEP: 59015-900 - TIROL - NATAL (RN)",,,,NATAL,RN,Cluster C
MARTINELLO,MINAS SHOPPING,,AV CRISTIANO MACHADO 4000 - : MINAS SHOPPING; LOJA: 160 - 1 PISO - CEP: 31160-900 - UNIÃO - BELO HORIZONTE (MG),,,,BELO HORIZONTE,MG,Cluster C
M.M.S. DO BRASIL,MIRAMAR SHOPPING,,"AV MARECHAL FLORIANO PEIXOTO, 44 - LOJA 53 - CEP: 11060-300 GONZAGA - SANTOS (SP)",,,,SANTOS,SP,Cluster C
ARTE TELECOM,MOGI SHOPPING,,"AV. VEREADOR NARCISO YAGUE  GUMARAES , N 1001  QUIOSQUE 23 A",,,,MOGI DAS CRUZES,SP,Cluster C
CHIPCRED,MOOCA PLAZA SHOPPING,,"RUA CAPITAO PACHECO CHAVES, 313, LOJA 2717, PISO 2, MOOCA - SAO PAULO/SP",,,,SÃO PAULO,SP,Cluster C
MASTERCELL,NAÇÕES SHOPPING,,"AVENIDA JORGE ELIAS DE LUCCA, 677 - BAIRRO NOSSA SRA DA SALETA / CRICIUMA - SC (LOJA 124) CEP 88813-390",,,,CRICIUMA,SC,Cluster C
ATACADÃO DOS ELETRODOMÉSTICOS DO NORDESTE,NATAL SHOPPING,,"AV SENADOR SALGADO FILHO, 2234 - LOJA 384, PISO L2 - 59064-900 CANDELRIA NATAL RN",,,,NATAL,RN,Cluster C
